105	84	23
2620	9795	17
1116	5952	5
12	1534	12
117	6737	4
567	772	13
5729	785	0
334	9662	2
101	3359	5
102	2173	18
22162	4719	4
107	7021	6
116	2077	0
111	5828	4
441	960	0
152	7692	9
138	9734	16
101	8318	13
113	5323	8
103	1299	15
14	6355	25
8	9422	3
2160	3502	20
2190	2163	8
1282	635	5
7761	9186	6
14	6454	5
152	203	12
104	7793	2
2292	8871	4
1146	7456	9
643	1567	17
327	4879	5
24658	310	14
175	2351	19
116	1968	0
1091	5666	29
101	690	5
166	6134	23
22575	1160	7
12	4379	29
2938	2035	6
115	4568	22
125	6055	7
187	773	17
107	5988	12
566	4866	17
101	1853	17
8089	7469	7
2544	4654	8
12	2551	6
15770	1561	8
143	3125	16
156	1995	12
119	7728	2
14	542	15
12	5715	9
130	6550	13
122	4961	5
8	1221	11
3470	3664	16
177	4363	4
2	6233	13
11236	3226	0
14	4563	17
212	1393	7
2287	5580	5
378	4025	1
105	1240	18
162	6274	0
550	2752	2
57	8605	0
8323	8829	8
10619	8498	16
117	732	16
108	2283	11
25866	7671	2
1263	4618	1
13422	4718	2
1194	8857	15
19934	5756	8
344	8500	1
436	9357	27
335	9759	1
12776	2904	5
14	4151	25
107	2688	1
566	9289	22
239	6347	3
3494	1511	5
104	7604	7
101	6873	28
4202	7047	4
1775	2269	1
7272	9139	10
111	5036	9
1820	3996	1
23743	8695	6
2899	9868	7
108	681	4
8427	8963	17
12	2999	4
17	943	23
1806	8267	9
14	2141	20
110	7299	2
102	955	14
1356	4923	3
23023	4808	13
1	5884	4
14	5786	17
26329	2017	26
12	6559	6
14	317	7
12	4798	3
106	6575	15
101	4500	3
177	7725	7
104	1909	16
4519	3144	8
3932	303	22
127	5600	10
2927	4717	14
14	1561	9
117	2613	5
176	8975	7
108	8297	13
111	2539	8
